Patient	Type	Gene	Cytoband	Samples with alteration in altered group	Samples with alteration in unaltered group	Log Ratio	p-Value	q-Value	Tendency
P-0002620	MUT	SHQ1	3p13	6 (2.58%)	2 (0.09%)	4.85	1.56E-05	6.15E-05	Co-occurrence
P-0002620	MUT	TRAF2	9q34.3	6 (2.58%)	2 (0.09%)	4.85	1.56E-05	6.15E-05	Co-occurrence
P-0002620	MUT	YES1	18p11.32	6 (2.58%)	2 (0.09%)	4.85	1.56E-05	6.15E-05	Co-occurrence
P-0002620	MUT	MRE11	11q21	8 (3.43%)	7 (0.31%)	3.46	1.97E-05	7.581E-05	Co-occurrence
P-0002620	MUT	SMAD2	18q21.1	8 (3.43%)	7 (0.31%)	3.46	1.97E-05	7.581E-05	Co-occurrence
P-0002620	MUT	TCF7L2	10q25.2-q25.3	8 (3.43%)	7 (0.31%)	3.46	1.97E-05	7.581E-05	Co-occurrence
P-0002620	MUT	MUTYH	1p34.1	9 (3.86%)	10 (0.45%)	3.11	1.989E-05	7.581E-05	Co-occurrence
P-0002620	MUT	PIK3C2G	12p12.3	9 (3.86%)	10 (0.45%)	3.11	1.989E-05	7.581E-05	Co-occurrence
P-0002620	MUT	SUFU	10q24.32	9 (3.86%)	10 (0.45%)	3.11	1.989E-05	7.581E-05	Co-occurrence
P-0002620	MUT	ERCC2	19q13.32	11 (4.72%)	17 (0.76%)	2.64	2.062E-05	7.817E-05	Co-occurrence
P-0002620	MUT	STAT3	17q21.2	7 (3.00%)	5 (0.22%)	3.75	3.151E-05	1.188E-04	Co-occurrence
P-0002620	MUT	HIST1H3F	6p22.2	9 (3.86%)	11 (0.49%)	2.98	3.322E-05	1.246E-04	Co-occurrence
P-0002620	MUT	KEAP1	19p13.2	8 (3.43%)	8 (0.36%)	3.27	3.623E-05	1.351E-04	Co-occurrence
P-0002620	MUT	PIK3R3	1p34.1	5 (2.15%)	1 (0.04%)	5.59	3.938E-05	1.415E-04	Co-occurrence
P-0002620	MUT	PIM1	6p21.2	5 (2.15%)	1 (0.04%)	5.59	3.938E-05	1.415E-04	Co-occurrence
P-0002620	MUT	PRKAR1A	17q24.2	5 (2.15%)	1 (0.04%)	5.59	3.938E-05	1.415E-04	Co-occurrence
P-0002620	MUT	RAD54L	1p34.1	5 (2.15%)	1 (0.04%)	5.59	3.938E-05	1.415E-04	Co-occurrence
P-0002620	MUT	RTEL1	20q13.33	5 (2.15%)	1 (0.04%)	5.59	3.938E-05	1.415E-04	Co-occurrence
P-0002620	MUT	SDHB	1p36.13	5 (2.15%)	1 (0.04%)	5.59	3.938E-05	1.415E-04	Co-occurrence
P-0002620	MUT	TMEM127	2q11.2	5 (2.15%)	1 (0.04%)	5.59	3.938E-05	1.415E-04	Co-occurrence
P-0002620	MUT	AURKA	20q13.2	6 (2.58%)	3 (0.13%)	4.27	4.312E-05	1.526E-04	Co-occurrence
P-0002620	MUT	PIK3R2	19p13.11	6 (2.58%)	3 (0.13%)	4.27	4.312E-05	1.526E-04	Co-occurrence
P-0002620	MUT	RAD51D	17q12	6 (2.58%)	3 (0.13%)	4.27	4.312E-05	1.526E-04	Co-occurrence
P-0002620	MUT	ESR1	6q25.1-q25.2	11 (4.72%)	19 (0.85%)	2.48	4.419E-05	1.548E-04	Co-occurrence
P-0002620	MUT	PALB2	16p12.2	11 (4.72%)	19 (0.85%)	2.48	4.419E-05	1.548E-04	Co-occurrence
P-0002620	MUT	INPP4B	4q31.21	7 (3.00%)	6 (0.27%)	3.49	6.282E-05	2.167E-04	Co-occurrence
P-0002620	MUT	MAP2K1	15q22.31	7 (3.00%)	6 (0.27%)	3.49	6.282E-05	2.167E-04	Co-occurrence
P-0002620	MUT	SOX17	8q11.23	7 (3.00%)	6 (0.27%)	3.49	6.282E-05	2.167E-04	Co-occurrence
P-0002620	MUT	NRG1	8p12	4 (1.72%)	0 (0.00%)	>10	7.672E-05	2.634E-04	Co-occurrence
P-0002620	MUT	EPHA7	6q16.1	9 (3.86%)	13 (0.58%)	2.74	8.306E-05	2.823E-04	Co-occurrence
P-0002620	MUT	POLD1	19q13.33	9 (3.86%)	13 (0.58%)	2.74	8.306E-05	2.823E-04	Co-occurrence
P-0002620	MUT	SF3B1	2q33.1	11 (4.72%)	21 (0.94%)	2.33	8.795E-05	2.975E-04	Co-occurrence
P-0002620	MUT	CDC73	1q31.2	10 (4.29%)	17 (0.76%)	2.5	9.026E-05	3.023E-04	Co-occurrence
P-0002620	MUT	PIK3CG	7q22.3	10 (4.29%)	17 (0.76%)	2.5	9.026E-05	3.023E-04	Co-occurrence
P-0002620	MUT	STAG2	Xq25	19 (8.15%)	61 (2.72%)	1.58	9.364E-05	3.121E-04	Co-occurrence
P-0002620	MUT	KMT2B	19q13.12	6 (2.58%)	4 (0.18%)	3.85	9.933E-05	3.248E-04	Co-occurrence
P-0002620	MUT	MAPK1	22q11.22	6 (2.58%)	4 (0.18%)	3.85	9.933E-05	3.248E-04	Co-occurrence
P-0002620	MUT	RHPN2	19q13.11	6 (2.58%)	4 (0.18%)	3.85	9.933E-05	3.248E-04	Co-occurrence
P-0002620	MUT	ZRSR2	Xp22.2	6 (2.58%)	4 (0.18%)	3.85	9.933E-05	3.248E-04	Co-occurrence
P-0002620	MUT	DMD	Xp21.2-p21.1	8 (3.43%)	10 (0.45%)	2.94	1.041E-04	3.39E-04	Co-occurrence
P-0002620	MUT	CCND2	12p13.32	7 (3.00%)	7 (0.31%)	3.27	1.156E-04	3.652E-04	Co-occurrence
P-0002620	MUT	CRTC1	19p13.11	7 (3.00%)	7 (0.31%)	3.27	1.156E-04	3.652E-04	Co-occurrence
P-0002620	MUT	MITF	3p13	7 (3.00%)	7 (0.31%)	3.27	1.156E-04	3.652E-04	Co-occurrence
P-0002620	MUT	RARA	17q21.2	7 (3.00%)	7 (0.31%)	3.27	1.156E-04	3.652E-04	Co-occurrence
P-0002620	MUT	TBX3	12q24.21	7 (3.00%)	7 (0.31%)	3.27	1.156E-04	3.652E-04	Co-occurrence
P-0002620	MUT	TP53BP1	15q15.3	7 (3.00%)	7 (0.31%)	3.27	1.156E-04	3.652E-04	Co-occurrence
P-0002620	MUT	TERT	5p15.33	94 (40.34%)	634 (28.28%)	0.51	1.159E-04	3.652E-04	Co-occurrence
P-0002620	MUT	TSC2	16p13.3	15 (6.44%)	41 (1.83%)	1.82	1.238E-04	3.88E-04	Co-occurrence
P-0002620	MUT	MYCN	2p24.3	9 (3.86%)	14 (0.62%)	2.63	1.254E-04	3.88E-04	Co-occurrence
P-0002620	MUT	PMS2	7p22.1	9 (3.86%)	14 (0.62%)	2.63	1.254E-04	3.88E-04	Co-occurrence
P-0002620	MUT	TCF3	19p13.3	9 (3.86%)	14 (0.62%)	2.63	1.254E-04	3.88E-04	Co-occurrence
P-0002620	MUT	MTAP	9p21.3	5 (2.15%)	2 (0.09%)	4.59	1.273E-04	3.885E-04	Co-occurrence
P-0002620	MUT	SDHC	1q23.3	5 (2.15%)	2 (0.09%)	4.59	1.273E-04	3.885E-04	Co-occurrence
P-0002620	MUT	SOX2	3q26.33	5 (2.15%)	2 (0.09%)	4.59	1.273E-04	3.885E-04	Co-occurrence
P-0002620	MUT	ERG	21q22.2	10 (4.29%)	18 (0.80%)	2.42	1.289E-04	3.92E-04	Co-occurrence
P-0002620	MUT	FGFR3	4p16.3	14 (6.01%)	37 (1.65%)	1.86	1.572E-04	4.757E-04	Co-occurrence
P-0002620	MUT	ETV1	7p21.2	8 (3.43%)	11 (0.49%)	2.81	1.654E-04	4.941E-04	Co-occurrence
P-0002620	MUT	GLI2	2q14.2	8 (3.43%)	11 (0.49%)	2.81	1.654E-04	4.941E-04	Co-occurrence
P-0002620	MUT	NF2	22q12.2	8 (3.43%)	11 (0.49%)	2.81	1.654E-04	4.941E-04	Co-occurrence
P-0002620	MUT	SH2B3	12q24.12	10 (4.29%)	19 (0.85%)	2.34	1.808E-04	5.376E-04	Co-occurrence
P-0002620	MUT	MECOM	3q26.2	9 (3.86%)	15 (0.67%)	2.53	1.844E-04	5.46E-04	Co-occurrence
P-0002620	MUT	PRPF40B	12q13.12	7 (3.00%)	8 (0.36%)	3.07	1.996E-04	5.766E-04	Co-occurrence
P-0002620	MUT	SOX9	17q24.3	7 (3.00%)	8 (0.36%)	3.07	1.996E-04	5.766E-04	Co-occurrence
P-0002620	MUT	SUZ12	17q11.2	7 (3.00%)	8 (0.36%)	3.07	1.996E-04	5.766E-04	Co-occurrence
P-0002620	MUT	BMPR1A	10q23.2	6 (2.58%)	5 (0.22%)	3.53	2.014E-04	5.766E-04	Co-occurrence
P-0002620	MUT	CTCF	16q22.1	6 (2.58%)	5 (0.22%)	3.53	2.014E-04	5.766E-04	Co-occurrence
P-0002620	MUT	HOXB13	17q21.32	6 (2.58%)	5 (0.22%)	3.53	2.014E-04	5.766E-04	Co-occurrence
P-0002620	MUT	LATS2	13q12.11	6 (2.58%)	5 (0.22%)	3.53	2.014E-04	5.766E-04	Co-occurrence
P-0002620	MUT	PIK3CB	3q22.3	6 (2.58%)	5 (0.22%)	3.53	2.014E-04	5.766E-04	Co-occurrence
P-0002620	MUT	CIC	19q13.2	25 (10.73%)	103 (4.59%)	1.22	2.307E-04	6.578E-04	Co-occurrence
P-0002620	MUT	IDH2	15q26.1	15 (6.44%)	44 (1.96%)	1.71	2.345E-04	6.659E-04	Co-occurrence
P-0002620	MUT	AKT1	14q32.33	8 (3.43%)	12 (0.54%)	2.68	2.536E-04	7.141E-04	Co-occurrence
P-0002620	MUT	SMARCB1	22q11.23|22q11	8 (3.43%)	12 (0.54%)	2.68	2.536E-04	7.141E-04	Co-occurrence
P-0002620	MUT	FLCN	17p11.2	9 (3.86%)	16 (0.71%)	2.44	2.647E-04	7.396E-04	Co-occurrence
P-0002620	MUT	GRIN2A	16p13.2	9 (3.86%)	16 (0.71%)	2.44	2.647E-04	7.396E-04	Co-occurrence
P-0002620	MUT	PDGFRA	4q12	22 (9.44%)	86 (3.84%)	1.3	2.986E-04	8.308E-04	Co-occurrence
P-0002620	MUT	BCL2L1	20q11.21	5 (2.15%)	3 (0.13%)	4	3.133E-04	8.546E-04	Co-occurrence
P-0002620	MUT	CD79B	17q23.3	5 (2.15%)	3 (0.13%)	4	3.133E-04	8.546E-04	Co-occurrence
P-0002620	MUT	DNMT3B	20q11.21	5 (2.15%)	3 (0.13%)	4	3.133E-04	8.546E-04	Co-occurrence
P-0002620	MUT	PRF1	10q22.1	5 (2.15%)	3 (0.13%)	4	3.133E-04	8.546E-04	Co-occurrence
P-0002620	MUT	SF1	11q13.1	5 (2.15%)	3 (0.13%)	4	3.133E-04	8.546E-04	Co-occurrence
P-0002620	MUT	ABRAXAS1	4q21.23	4 (1.72%)	1 (0.04%)	5.27	3.552E-04	9.426E-04	Co-occurrence
P-0002620	MUT	BBC3	19q13.32	4 (1.72%)	1 (0.04%)	5.27	3.552E-04	9.426E-04	Co-occurrence
P-0002620	MUT	CD276	15q24.1	4 (1.72%)	1 (0.04%)	5.27	3.552E-04	9.426E-04	Co-occurrence
P-0002620	MUT	IGF1	12q23.2	4 (1.72%)	1 (0.04%)	5.27	3.552E-04	9.426E-04	Co-occurrence
P-0002620	MUT	RAC1	7p22.1	4 (1.72%)	1 (0.04%)	5.27	3.552E-04	9.426E-04	Co-occurrence
P-0002620	MUT	XRCC2	7q36.1	4 (1.72%)	1 (0.04%)	5.27	3.552E-04	9.426E-04	Co-occurrence
P-0002620	MUT	XRCC5	2q35	4 (1.72%)	1 (0.04%)	5.27	3.552E-04	9.426E-04	Co-occurrence
P-0002620	MUT	ACVR1	2q24.1	6 (2.58%)	6 (0.27%)	3.27	3.713E-04	9.742E-04	Co-occurrence
P-0002620	MUT	EPHB1	3q22.2	6 (2.58%)	6 (0.27%)	3.27	3.713E-04	9.742E-04	Co-occurrence
P-0002620	MUT	GATA3	10p14	6 (2.58%)	6 (0.27%)	3.27	3.713E-04	9.742E-04	Co-occurrence
P-0002620	MUT	XPC	3p25.1	8 (3.43%)	13 (0.58%)	2.57	3.767E-04	9.846E-04	Co-occurrence
P-0002620	MUT	FH	1q43	7 (3.00%)	10 (0.45%)	2.75	5.113E-04	1.326E-03	Co-occurrence
P-0002620	MUT	PRPF8	17p13.3	7 (3.00%)	10 (0.45%)	2.75	5.113E-04	1.326E-03	Co-occurrence
P-0002620	MUT	MPL	1p34.2	8 (3.43%)	14 (0.62%)	2.46	5.445E-04	1.407E-03	Co-occurrence
P-0002620	MUT	FUBP1	1p31.1	11 (4.72%)	28 (1.25%)	1.92	6.284E-04	1.618E-03	Co-occurrence
P-0002620	MUT	CCNE1	19q12	6 (2.58%)	7 (0.31%)	3.04	6.357E-04	1.631E-03	Co-occurrence
P-0002620	MUT	BLM	15q26.1	9 (3.86%)	19 (0.85%)	2.19	6.95E-04	1.776E-03	Co-occurrence
P-0002620	MUT	CDKN2A	9p21.3	13 (5.58%)	39 (1.74%)	1.68	7.333E-04	1.867E-03	Co-occurrence
P-0002620	MUT	TP63	3q28	7 (3.00%)	11 (0.49%)	2.61	7.704E-04	1.954E-03	Co-occurrence
P-0002620	MUT	BCORL1	Xq26.1	10 (4.29%)	24 (1.07%)	2	7.741E-04	1.957E-03	Co-occurrence
P-0002620	MUT	RECQL4	8q24.3	11 (4.72%)	29 (1.29%)	1.87	7.96E-04	1.996E-03	Co-occurrence
P-0002620	MUT	RB1	13q14.2	29 (12.45%)	141 (6.29%)	0.98	8.158E-04	1.996E-03	Co-occurrence
P-0002620	MUT	CADM2	3p12.1	3 (1.29%)	0 (0.00%)	>10	8.246E-04	1.996E-03	Co-occurrence
P-0002620	MUT	EIF4E	4q23	3 (1.29%)	0 (0.00%)	>10	8.246E-04	1.996E-03	Co-occurrence
P-0002620	MUT	ERF	19q13.2	3 (1.29%)	0 (0.00%)	>10	8.246E-04	1.996E-03	Co-occurrence
P-0002620	MUT	GBA	1q22	3 (1.29%)	0 (0.00%)	>10	8.246E-04	1.996E-03	Co-occurrence
P-0002620	MUT	LMO2	11p13	3 (1.29%)	0 (0.00%)	>10	8.246E-04	1.996E-03	Co-occurrence
P-0002620	MUT	NTHL1	16p13.3	3 (1.29%)	0 (0.00%)	>10	8.246E-04	1.996E-03	Co-occurrence
P-0002620	MUT	POT1	7q31.33	3 (1.29%)	0 (0.00%)	>10	8.246E-04	1.996E-03	Co-occurrence
P-0002620	MUT	PPP6C	9q33.3	3 (1.29%)	0 (0.00%)	>10	8.246E-04	1.996E-03	Co-occurrence
P-0002620	MUT	RAD51B	14q24.1	3 (1.29%)	0 (0.00%)	>10	8.246E-04	1.996E-03	Co-occurrence
P-0002620	MUT	RXRA	9q34.2	3 (1.29%)	0 (0.00%)	>10	8.246E-04	1.996E-03	Co-occurrence
P-0002620	MUT	BORCS8-MEF2B	19p13.11	4 (1.72%)	2 (0.09%)	4.27	9.868E-04	2.277E-03	Co-occurrence
P-0002620	MUT	DIS3L2	2q37.1	4 (1.72%)	2 (0.09%)	4.27	9.868E-04	2.277E-03	Co-occurrence
P-0002620	MUT	DROSHA	5p13.3	4 (1.72%)	2 (0.09%)	4.27	9.868E-04	2.277E-03	Co-occurrence
P-0002620	MUT	FGF3	11q13.3	4 (1.72%)	2 (0.09%)	4.27	9.868E-04	2.277E-03	Co-occurrence
P-0002620	MUT	FOXO1	13q14.11	4 (1.72%)	2 (0.09%)	4.27	9.868E-04	2.277E-03	Co-occurrence
P-0002620	MUT	GEN1	2p24.2	4 (1.72%)	2 (0.09%)	4.27	9.868E-04	2.277E-03	Co-occurrence
P-0002620	MUT	MAPK3	16p11.2	4 (1.72%)	2 (0.09%)	4.27	9.868E-04	2.277E-03	Co-occurrence
P-0002620	MUT	NCOA3	20q13.12	4 (1.72%)	2 (0.09%)	4.27	9.868E-04	2.277E-03	Co-occurrence
P-0002620	MUT	NPM1	5q35.1	4 (1.72%)	2 (0.09%)	4.27	9.868E-04	2.277E-03	Co-occurrence
P-0002620	MUT	PHF6	Xq26.2	4 (1.72%)	2 (0.09%)	4.27	9.868E-04	2.277E-03	Co-occurrence
P-0002620	MUT	RPS6KB2	11q13.2	4 (1.72%)	2 (0.09%)	4.27	9.868E-04	2.277E-03	Co-occurrence
P-0002620	MUT	SDHAF2	11q12.2	4 (1.72%)	2 (0.09%)	4.27	9.868E-04	2.277E-03	Co-occurrence
P-0002620	MUT	STK40	1p34.3	4 (1.72%)	2 (0.09%)	4.27	9.868E-04	2.277E-03	Co-occurrence
P-0002620	MUT	XIAP	Xq25	4 (1.72%)	2 (0.09%)	4.27	9.868E-04	2.277E-03	Co-occurrence
P-0002620	MUT	GLI1	12q13.3	10 (4.29%)	25 (1.12%)	1.94	9.957E-04	2.29E-03	Co-occurrence
P-0002620	MUT	DAXX	6p21.32	6 (2.58%)	8 (0.36%)	2.85	1.026E-03	2.351E-03	Co-occurrence
P-0002620	MUT	NBN	8q21.3	8 (3.43%)	16 (0.71%)	2.27	1.06E-03	2.414E-03	Co-occurrence
P-0002620	MUT	SLX4	16p13.3	8 (3.43%)	16 (0.71%)	2.27	1.06E-03	2.414E-03	Co-occurrence
P-0002620	MUT	IDH1	2q34	46 (19.74%)	655 (29.21%)	-0.57	1.094E-03	2.483E-03	Mutual exclusivity
P-0002620	MUT	DDB2	11p11.2	5 (2.15%)	5 (0.22%)	3.27	1.203E-03	2.669E-03	Co-occurrence
P-0002620	MUT	DOCK8	9p24.3	5 (2.15%)	5 (0.22%)	3.27	1.203E-03	2.669E-03	Co-occurrence
P-0002620	MUT	FOXL2	3q22.3	5 (2.15%)	5 (0.22%)	3.27	1.203E-03	2.669E-03	Co-occurrence
P-0002620	MUT	FUS	16p11.2	5 (2.15%)	5 (0.22%)	3.27	1.203E-03	2.669E-03	Co-occurrence
P-0002620	MUT	MDM4	1q32.1	5 (2.15%)	5 (0.22%)	3.27	1.203E-03	2.669E-03	Co-occurrence
P-0002620	MUT	MYD88	3p22.2	5 (2.15%)	5 (0.22%)	3.27	1.203E-03	2.669E-03	Co-occurrence
P-0002620	MUT	PHOX2B	4p13	5 (2.15%)	5 (0.22%)	3.27	1.203E-03	2.669E-03	Co-occurrence
P-0002620	MUT	MCL1	1q21.2	6 (2.58%)	9 (0.40%)	2.68	1.577E-03	3.487E-03	Co-occurrence
P-0002620	MUT	PAX5	9p13.2	7 (3.00%)	13 (0.58%)	2.37	1.592E-03	3.494E-03	Co-occurrence
P-0002620	MUT	SOS1	2p22.1	7 (3.00%)	13 (0.58%)	2.37	1.592E-03	3.494E-03	Co-occurrence
P-0002620	MUT	CBL	11q23.3	10 (4.29%)	27 (1.20%)	1.83	1.595E-03	3.494E-03	Co-occurrence
P-0002620	MUT	AURKB	17p13.1	5 (2.15%)	6 (0.27%)	3	2.038E-03	4.366E-03	Co-occurrence
P-0002620	MUT	BRD3	9q34.2	5 (2.15%)	6 (0.27%)	3	2.038E-03	4.366E-03	Co-occurrence
P-0002620	MUT	CDK4	12q14.1	5 (2.15%)	6 (0.27%)	3	2.038E-03	4.366E-03	Co-occurrence
P-0002620	MUT	EXT1	8q24.11	5 (2.15%)	6 (0.27%)	3	2.038E-03	4.366E-03	Co-occurrence
P-0002620	MUT	FOXA1	14q21.1	5 (2.15%)	6 (0.27%)	3	2.038E-03	4.366E-03	Co-occurrence
P-0002620	MUT	STAG1	3q22.3	5 (2.15%)	6 (0.27%)	3	2.038E-03	4.366E-03	Co-occurrence
P-0002620	MUT	STAT5B	17q21.2	5 (2.15%)	6 (0.27%)	3	2.038E-03	4.366E-03	Co-occurrence
P-0002620	MUT	CALR	19p13.13	4 (1.72%)	3 (0.13%)	3.68	2.133E-03	4.473E-03	Co-occurrence
P-0002620	MUT	CXCR4	2q22.1	4 (1.72%)	3 (0.13%)	3.68	2.133E-03	4.473E-03	Co-occurrence
P-0002620	MUT	PIK3C3	18q12.3	4 (1.72%)	3 (0.13%)	3.68	2.133E-03	4.473E-03	Co-occurrence
P-0002620	MUT	PLK2	5q11.2	4 (1.72%)	3 (0.13%)	3.68	2.133E-03	4.473E-03	Co-occurrence
P-0002620	MUT	PTK2B	8p21.2	4 (1.72%)	3 (0.13%)	3.68	2.133E-03	4.473E-03	Co-occurrence
P-0002620	MUT	TMPRSS2	21q22.3	4 (1.72%)	3 (0.13%)	3.68	2.133E-03	4.473E-03	Co-occurrence
P-0002620	MUT	TOP1	20q12	4 (1.72%)	3 (0.13%)	3.68	2.133E-03	4.473E-03	Co-occurrence
P-0002620	MUT	CIITA	16p13.13	8 (3.43%)	19 (0.85%)	2.02	2.493E-03	5.212E-03	Co-occurrence
P-0002620	MUT	BABAM1	19p13.11	3 (1.29%)	1 (0.04%)	4.85	3.068E-03	6.19E-03	Co-occurrence
P-0002620	MUT	CENPA	2p23.3	3 (1.29%)	1 (0.04%)	4.85	3.068E-03	6.19E-03	Co-occurrence
P-0002620	MUT	CTLA4	2q33.2	3 (1.29%)	1 (0.04%)	4.85	3.068E-03	6.19E-03	Co-occurrence
P-0002620	MUT	GPS2	17p13.1	3 (1.29%)	1 (0.04%)	4.85	3.068E-03	6.19E-03	Co-occurrence
P-0002620	MUT	IFNGR1	6q23.3	3 (1.29%)	1 (0.04%)	4.85	3.068E-03	6.19E-03	Co-occurrence
P-0002620	MUT	RAD52	12p13.33	3 (1.29%)	1 (0.04%)	4.85	3.068E-03	6.19E-03	Co-occurrence
P-0002620	MUT	SNORA81	3q27.3	3 (1.29%)	1 (0.04%)	4.85	3.068E-03	6.19E-03	Co-occurrence
P-0002620	MUT	SPRED1	15q14	3 (1.29%)	1 (0.04%)	4.85	3.068E-03	6.19E-03	Co-occurrence
P-0002620	MUT	SQSTM1	5q35.3	3 (1.29%)	1 (0.04%)	4.85	3.068E-03	6.19E-03	Co-occurrence
P-0002620	MUT	STAT5A	17q21.2	3 (1.29%)	1 (0.04%)	4.85	3.068E-03	6.19E-03	Co-occurrence
P-0002620	MUT	U2AF1	21q22.3	3 (1.29%)	1 (0.04%)	4.85	3.068E-03	6.19E-03	Co-occurrence
P-0002620	MUT	UPF1	19p13.11	3 (1.29%)	1 (0.04%)	4.85	3.068E-03	6.19E-03	Co-occurrence
P-0002620	MUT	NTRK3	15q25.3	8 (3.43%)	20 (0.89%)	1.94	3.212E-03	6.4E-03	Co-occurrence
P-0002620	MUT	HGF	7q21.11	5 (2.15%)	7 (0.31%)	2.78	3.228E-03	6.4E-03	Co-occurrence
P-0002620	MUT	NEGR1	1p31.1	5 (2.15%)	7 (0.31%)	2.78	3.228E-03	6.4E-03	Co-occurrence
P-0002620	MUT	NSD2	4p16.3	5 (2.15%)	7 (0.31%)	2.78	3.228E-03	6.4E-03	Co-occurrence
P-0002620	MUT	NSD3	8p11.23	5 (2.15%)	7 (0.31%)	2.78	3.228E-03	6.4E-03	Co-occurrence
P-0002620	MUT	SYK	9q22.2	5 (2.15%)	7 (0.31%)	2.78	3.228E-03	6.4E-03	Co-occurrence
P-0002620	MUT	SMAD4	18q21.2	6 (2.58%)	11 (0.49%)	2.39	3.317E-03	6.539E-03	Co-occurrence
P-0002620	MUT	TENT5C	1p12	6 (2.58%)	11 (0.49%)	2.39	3.317E-03	6.539E-03	Co-occurrence
P-0002620	MUT	COL7A1	3p21.31	7 (3.00%)	16 (0.71%)	2.07	3.935E-03	7.66E-03	Co-occurrence
P-0002620	MUT	BCL2L12	19q13.33	4 (1.72%)	4 (0.18%)	3.27	3.952E-03	7.66E-03	Co-occurrence
P-0002620	MUT	IGF2	11p15.5	4 (1.72%)	4 (0.18%)	3.27	3.952E-03	7.66E-03	Co-occurrence
P-0002620	MUT	SLC25A13	7q21.3	4 (1.72%)	4 (0.18%)	3.27	3.952E-03	7.66E-03	Co-occurrence
P-0002620	MUT	SMC3	10q25.2	4 (1.72%)	4 (0.18%)	3.27	3.952E-03	7.66E-03	Co-occurrence
P-0002620	MUT	VTCN1	1p13.1-p12	4 (1.72%)	4 (0.18%)	3.27	3.952E-03	7.66E-03	Co-occurrence
P-0002620	MUT	PIK3C2B	1q32.1	8 (3.43%)	21 (0.94%)	1.87	4.083E-03	7.891E-03	Co-occurrence
P-0002620	MUT	CHEK2	22q12.1	6 (2.58%)	12 (0.54%)	2.27	4.59E-03	8.846E-03	Co-occurrence
P-0002620	MUT	FANCG	9p13.3	5 (2.15%)	8 (0.36%)	2.59	4.848E-03	9.291E-03	Co-occurrence
P-0002620	MUT	STAT6	12q13.3	5 (2.15%)	8 (0.36%)	2.59	4.848E-03	9.291E-03	Co-occurrence
P-0002620	MUT	PIK3R1	5q13.1	25 (10.73%)	134 (5.98%)	0.84	5.907E-03	0.0113	Co-occurrence
P-0002620	MUT	WT1	11p13	6 (2.58%)	13 (0.58%)	2.15	6.19E-03	0.0118	Co-occurrence
P-0002620	MUT	ERCC6	10q11.23	4 (1.72%)	5 (0.22%)	2.94	6.593E-03	0.0125	Co-occurrence
P-0002620	MUT	NUP93	16q13	4 (1.72%)	5 (0.22%)	2.94	6.593E-03	0.0125	Co-occurrence
P-0002620	MUT	YAP1	11q22.1	4 (1.72%)	5 (0.22%)	2.94	6.593E-03	0.0125	Co-occurrence
P-0002620	MUT	RBL2	16q12.2	5 (2.15%)	9 (0.40%)	2.42	6.971E-03	0.0131	Co-occurrence
P-0002620	MUT	CDKN2B	9p21.3	3 (1.29%)	2 (0.09%)	3.85	7.138E-03	0.0131	Co-occurrence
P-0002620	MUT	CRKL	22q11.21	3 (1.29%)	2 (0.09%)	3.85	7.138E-03	0.0131	Co-occurrence
P-0002620	MUT	CUL3	2q36.2	3 (1.29%)	2 (0.09%)	3.85	7.138E-03	0.0131	Co-occurrence
P-0002620	MUT	E2F3	6p22.3	3 (1.29%)	2 (0.09%)	3.85	7.138E-03	0.0131	Co-occurrence
P-0002620	MUT	GNAQ	9q21.2	3 (1.29%)	2 (0.09%)	3.85	7.138E-03	0.0131	Co-occurrence
P-0002620	MUT	HIST1H1C	6p22.2	3 (1.29%)	2 (0.09%)	3.85	7.138E-03	0.0131	Co-occurrence
P-0002620	MUT	MAP2K2	19p13.3	3 (1.29%)	2 (0.09%)	3.85	7.138E-03	0.0131	Co-occurrence
P-0002620	MUT	PAK1	11q13.5-q14.1	3 (1.29%)	2 (0.09%)	3.85	7.138E-03	0.0131	Co-occurrence
P-0002620	MUT	RHBDF2	17q25.1	3 (1.29%)	2 (0.09%)	3.85	7.138E-03	0.0131	Co-occurrence
P-0002620	MUT	TGFBR1	9q22.33	3 (1.29%)	2 (0.09%)	3.85	7.138E-03	0.0131	Co-occurrence
P-0002620	MUT	BCL2L11	2q13	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	DUSP4	8p12	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	EGFL7	9q34.3	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	ELANE	19p13.3	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	EPAS1	2p21	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	FGF19	11q13.3	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	JUN	1p32.1	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	KLLN	10q23.31	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	MBD4	3q21.3	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
P-0002620	MUT	MSH3	5q14.1	2 (0.86%)	0 (0.00%)	>10	8.828E-03	0.0155	Co-occurrence
